ID,Category,Quantity,SKU,Image,Retail_Price,Landing_Cost_Per_Unit
1,Books & Stationery,477,78c44703,https://placekitten.com/603/73,287.5901,198.338
2,Books & Stationery,400,fe79de15,https://dummyimage.com/769x380,400.22465,276.017
3,Home Decor,266,c7964090,https://dummyimage.com/999x29,205.407,141.66
4,Health & Beauty,196,9046398f,https://dummyimage.com/583x980,193.401,133.38
5,Books & Stationery,328,8d603353,https://dummyimage.com/156x25,111.7109,77.042
6,Fashion,222,ad47fa5b,https://www.lorempixel.com/740/882,96.7092,66.696
7,Automotive,160,cb0b43fd,https://www.lorempixel.com/766/432,283.591,195.58
8,Groceries,64,720467a4,https://www.lorempixel.com/290/426,259.0686,178.668
9,Home Decor,193,6215fc11,https://placekitten.com/755/512,156.8175,108.15
10,Sports & Outdoors,377,23c14fe4,https://placekitten.com/816/126,227.1367,156.646
11,Sports & Outdoors,357,e6bccb51,https://placeimg.com/904/647/any,199.68095,137.711
12,Automotive,122,6195c4d7,https://dummyimage.com/67x330,252.1666,173.908
13,Toys & Games,164,1590ab1e,https://www.lorempixel.com/223/441,29.2523,20.174
14,Electronics,20,bb2019e5,https://placeimg.com/732/178/any,35.728,24.64
15,Toys & Games,29,928a17e5,https://dummyimage.com/526x223,139.5045,96.21
16,Sports & Outdoors,173,09eeb6c9,https://dummyimage.com/548x639,270.42645,186.501
17,Kitchen Appliances,378,2c4496e9,https://placekitten.com/942/306,181.30945,125.041
18,Sports & Outdoors,131,ea69c0a2,https://placekitten.com/6/929,56.1092,38.696
19,Sports & Outdoors,273,2e18fb79,https://www.lorempixel.com/388/727,353.9305,244.09
20,Kitchen Appliances,117,439ea827,https://placeimg.com/620/787/any,221.7166,152.908
21,Groceries,27,b994256e,https://dummyimage.com/18x486,389.4555,268.59
22,Home Decor,238,30513fa1,https://www.lorempixel.com/294/639,13.746,9.48
23,Automotive,327,83351fe2,https://placeimg.com/1000/634/any,108.4455,74.79
24,Kitchen Appliances,287,c1739da1,https://dummyimage.com/148x575,117.68925,81.165
25,Health & Beauty,261,2180bdc5,https://dummyimage.com/889x604,165.9728,114.464
26,Kitchen Appliances,358,502dbc03,https://www.lorempixel.com/684/62,161.82,111.6
27,Groceries,447,68abd119,https://placeimg.com/978/78/any,77.14,53.2
28,Electronics,42,f7254e46,https://dummyimage.com/847x883,323.8053,223.314
29,Groceries,284,521943b6,https://placeimg.com/732/879/any,99.5309,68.642
30,Sports & Outdoors,86,2.16E+08,https://placeimg.com/588/209/any,140.911,97.18
31,Automotive,9,d10c3b19,https://www.lorempixel.com/707/478,36.163,24.94
32,Books & Stationery,28,f0c81b8c,https://placeimg.com/825/475/any,88.80235,61.243
33,Electronics,94,c521977e,https://placekitten.com/477/253,16.43285,11.333
34,Books & Stationery,250,e8571d06,https://www.lorempixel.com/76/578,97.8054,67.452
35,Toys & Games,208,3bafc8c2,https://placeimg.com/920/291/any,105.48895,72.751
36,Health & Beauty,19,134c07f5,https://www.lorempixel.com/375/14,45.8635,31.63
37,Electronics,149,4cb6dd9d,https://www.lorempixel.com/788/827,423.5189,292.082
38,Automotive,362,3412b05c,https://www.lorempixel.com/457/683,242.672,167.36
39,Sports & Outdoors,327,e0a9bd10,https://www.lorempixel.com/682/768,251.169,173.22
40,Books & Stationery,35,e9cffcb6,https://placeimg.com/55/428/any,245.78225,169.505
41,Automotive,453,29f33c8a,https://placekitten.com/675/981,72.094,49.72
42,Kitchen Appliances,170,e1bcc783,https://dummyimage.com/1019x914,133.80745,92.281
43,Health & Beauty,297,2cc531d6,https://dummyimage.com/392x64,25.56785,17.633
44,Books & Stationery,214,a100a820,https://dummyimage.com/30x690,386.13645,266.301
45,Books & Stationery,156,ef97ca6a,https://dummyimage.com/388x375,199.2735,137.43
46,Books & Stationery,299,473fa959,https://placekitten.com/596/301,39.2805,27.09
47,Health & Beauty,402,36ac6653,https://www.lorempixel.com/84/475,103.298,71.24
48,Books & Stationery,274,65ae9434,https://placekitten.com/681/876,277.79535,191.583
49,Home Decor,186,b4cef282,https://placeimg.com/181/689/any,51.55185,35.553
50,Sports & Outdoors,309,18b964ba,https://dummyimage.com/210x956,414.7696,286.048
51,Sports & Outdoors,82,c396389f,https://dummyimage.com/553x910,279.48025,192.745
52,Home Decor,328,b7e58c60,https://www.lorempixel.com/65/1024,27.2165,18.77
53,Toys & Games,280,86789d57,https://www.lorempixel.com/773/272,37.9175,26.15
54,Books & Stationery,33,439b3d70,https://placekitten.com/492/413,199.8535,137.83
55,Kitchen Appliances,110,d50625d3,https://www.lorempixel.com/629/155,17.023,11.74
56,Health & Beauty,226,5e6fd3fe,https://placeimg.com/7/683/any,408.3345,281.61
57,Sports & Outdoors,431,88922503,https://dummyimage.com/865x576,76.43965,52.717
58,Electronics,50,16ed87b8,https://placekitten.com/839/163,133.9191,92.358
59,Health & Beauty,316,c5fe4df9,https://placeimg.com/502/964/any,49.7785,34.33
60,Health & Beauty,147,8016d64b,https://www.lorempixel.com/252/654,91.2775,62.95
61,Home Decor,183,bcebfc6f,https://www.lorempixel.com/23/969,129.659,89.42
62,Sports & Outdoors,389,6d11b59d,https://dummyimage.com/80x652,89.0735,61.43
63,Books & Stationery,82,cfa6da6f,https://www.lorempixel.com/364/750,114.115,78.7
64,Toys & Games,280,20d83dbc,https://placekitten.com/570/98,252.184,173.92
65,Automotive,119,13a5715d,https://www.lorempixel.com/166/309,19.35605,13.349
66,Groceries,235,d8f76a29,https://www.lorempixel.com/194/1007,188.384,129.92
67,Fashion,398,cb00a592,https://placeimg.com/304/706/any,315.8245,217.81
68,Books & Stationery,208,af338bbd,https://placeimg.com/553/125/any,112.9405,77.89
69,Home Decor,213,81ec8a86,https://www.lorempixel.com/890/735,97.034,66.92
70,Automotive,106,e6d2395a,https://www.lorempixel.com/275/732,20.561,14.18
71,Sports & Outdoors,159,3113692a,https://www.lorempixel.com/931/79,20.561,14.18
72,Groceries,10,03e40973,https://dummyimage.com/702x976,86.50845,59.661
73,Books & Stationery,318,78819fe6,https://www.lorempixel.com/424/460,240.3114,165.732
74,Health & Beauty,450,3b4af4ca,https://placekitten.com/958/440,147.4998,101.724
75,Automotive,456,5e331fb7,https://placekitten.com/729/259,180.45685,124.453
76,Kitchen Appliances,294,9a0fc9b4,https://dummyimage.com/1021x732,62.22965,42.917
77,Toys & Games,272,ac0a6f83,https://placeimg.com/500/971/any,423.1941,291.858
78,Groceries,481,3bcb3b76,https://placekitten.com/710/16,350.30695,241.591
79,Toys & Games,292,e60b69a3,https://dummyimage.com/55x741,129.03695,88.991
80,Fashion,164,a991082c,https://dummyimage.com/849x203,90.4974,62.412
81,Groceries,138,67278bde,https://placeimg.com/19/992/any,99.5135,68.63
82,Books & Stationery,186,7a48c2de,https://www.lorempixel.com/413/155,47.3135,32.63
83,Health & Beauty,83,228c2e43,https://placeimg.com/745/110/any,267.8875,184.75
84,Kitchen Appliances,19,80c75391,https://placeimg.com/946/487/any,148.77,102.6
85,Books & Stationery,367,af1af9ca,https://dummyimage.com/659x222,6.3945,4.41
86,Home Decor,443,8871cd7f,https://dummyimage.com/964x906,35.5047,24.486
87,Automotive,306,8ebb5258,https://placeimg.com/768/1020/any,240.9813,166.194
88,Fashion,147,5bead797,https://placeimg.com/111/301/any,223.88,154.4
89,Health & Beauty,448,33826bd6,https://www.lorempixel.com/120/132,63.2345,43.61
90,Toys & Games,89,553d4605,https://placekitten.com/585/576,129.7982,89.516
91,Toys & Games,323,ee9f0ccd,https://placekitten.com/683/992,256.853,177.14
92,Kitchen Appliances,495,7a0392e2,https://www.lorempixel.com/229/913,10.70825,7.385
93,Groceries,130,90c70f2a,https://placekitten.com/731/1002,217.355,149.9
94,Automotive,54,f10f35bc,https://dummyimage.com/2x650,92.43605,63.749
95,Health & Beauty,44,f23ee3d0,https://www.lorempixel.com/773/288,107.5465,74.17
96,Sports & Outdoors,310,60f6d740,https://www.lorempixel.com/51/335,414.41435,285.803
97,Sports & Outdoors,224,935d2a01,https://placekitten.com/126/274,257.0415,177.27
98,Groceries,186,6fec74cc,https://www.lorempixel.com/875/449,274.1109,189.042
99,Home Decor,27,ad83103a,https://dummyimage.com/222x521,190.7591,131.558
100,Toys & Games,447,872ccca7,https://dummyimage.com/395x462,13.195,9.1
